City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kindu,CD,80.67,overcast clouds,-2.95,25.95,Résidence Okanda
4,Kismayo,SO,78.39,light rain,-0.3582,42.5454,Agan-Hotel
6,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
11,Kavieng,PG,81.18,light rain,-2.5744,150.7967,Nusa Island Retreat
15,Santa Maria Del Oro,MX,82.29,few clouds,25.9333,-105.3667,Hotel Palacio Del Sol
17,Poum,NC,78.15,overcast clouds,-20.2333,164.0167,
18,Lorengau,PG,81.7,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
22,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
23,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
25,Saint-Jean-Port-Joli,CA,76.87,broken clouds,47.2171,-70.2658,Motel Blanche d'Haberville
32,Amahai,ID,76.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
33,Marsh Harbour,BS,81.34,clear sky,26.5412,-77.0636,Abaco Beach Resort
45,Vao,NC,75.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
46,Vilhena,BR,82.62,scattered clouds,-12.7406,-60.1458,Hotel Mirage
47,Bontang,ID,77.29,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
57,Akle,PH,81.79,broken clouds,15.0482,121.0733,MOUNTAINVIEW RESORT (Official)
59,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Porto Novo,BJ,80.42,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
67,Kuching,MY,77.22,light rain,1.55,110.3333,Hilton Kuching
68,Kirakira,SB,78.75,overcast clouds,-10.4544,161.9205,SanBiz Lodge
70,Jamestown,US,87.03,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Guane,CU,87.03,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
73,Cockburn Town,TC,82.04,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
74,Rzeszow,PL,77.02,clear sky,50.0413,21.999,Hotel Hetman
78,Tirukkoyilur,IN,85.6,overcast clouds,11.95,79.2,Hotel SKTC Grand Palace
82,Margate,GB,77.11,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
88,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Mayo,US,82.18,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
98,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
100,Tautira,PF,78.3,light rain,-17.7333,-149.15,Pension Oaoa
101,Mandiana,GN,87.49,light rain,10.6333,-8.6833,Motels rouzo
106,Gander,CA,77.16,few clouds,48.9682,-54.5906,Quality Hotel & Suites
107,Aquiraz,BR,86.45,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
109,Chiang Rai,TH,77.13,scattered clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
110,Banda Aceh,ID,80.17,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
112,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
116,Sompeta,IN,82.65,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
121,Yumen,CN,78.67,overcast clouds,40.2833,97.2,
122,Sao Filipe,CV,75.54,overcast clouds,14.8961,-24.4956,Hotel Xaguate
125,Parati,BR,76.46,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
127,Panama City,PA,87.93,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
129,Savannakhet,LA,82.38,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
134,Hambantota,LK,80.15,light rain,6.1241,81.1185,Bungalow 63
135,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
137,San Ignacio,BZ,82.54,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
147,Mahibadhoo,MV,83.41,moderate rain,3.7833,72.9667,Omadhoo Inn
153,Saint-Francois,FR,85.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
156,Ponta Do Sol,PT,76.71,scattered clouds,32.6667,-17.1,Hotel do Campo
158,Terenos,BR,89.31,few clouds,-20.4422,-54.8603,Rancho Pitzer
159,Dong Xoai,VN,75.63,broken clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
163,Alugan,PH,80.94,few clouds,12.2188,125.4808,JM Lodge
164,Luoyang,CN,86.95,clear sky,34.6836,112.4536,易家国际青年旅舍
166,Kaukauna,US,80.71,clear sky,44.278,-88.272,"Country Inn & Suites by Radisson, Appleton North, WI"
167,North Platte,US,80.98,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
169,Biak,ID,76.15,overcast clouds,-0.9131,122.8766,Penginapan Kim
172,Jhanjharpur,IN,79.75,overcast clouds,26.2667,86.2833,Krishna Sweets
173,Santa Rosa,PH,85.01,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
174,Lookan,PH,81.48,overcast clouds,5.037,120.1027,
175,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
179,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Bubaque,GW,80.08,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
192,Banbury,GB,80.19,overcast clouds,52.0602,-1.3403,Mercure Banbury Whately Hall Hotel
194,Pafos,CY,77.23,few clouds,34.7667,32.4167,Elysium Hotel
195,Bitung,ID,76.05,few clouds,1.4451,125.1824,K2 Lembeh
200,Namatanai,PG,77.63,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
201,Tongling,CN,75.6,overcast clouds,30.95,117.7833,Huoxian Hotel
205,Guanica,PR,88.11,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
207,Vaitape,PF,80.33,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
214,Laguna,US,77.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
215,Porbandar,IN,87.78,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
216,Corn Island,NI,77.59,overcast clouds,12.1694,-83.0418,Big Fish Guest House
224,Baracoa,CU,85.03,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
231,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
233,Jalingo,NG,78.15,light rain,8.8833,11.3667,Debright Motel
234,Mitchell,US,77.11,clear sky,43.7094,-98.0298,Kelly Inn & Suites
239,Bandarbeyla,SO,77.7,overcast clouds,9.4942,50.8122,JABIR HOTEL
242,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
243,Faya,SA,82.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
244,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
245,Bengkulu,ID,76.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Luancheng,CN,78.96,scattered clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
249,Da Nang,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
251,Lewisporte,CA,78.55,clear sky,49.2499,-55.0482,Ocean View Bed & Breakfast
252,Mitsamiouli,KM,78.76,clear sky,-11.3847,43.2844,Foyer ADM
257,Altagracia De Orituco,VE,83.44,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
259,Luba,GQ,78.69,moderate rain,3.4568,8.5547,
260,Methoni,GR,76.86,broken clouds,36.8197,21.7049,Methoni Beach Hotel
267,Bireun,ID,77.45,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
269,Rapid Valley,US,75.15,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
274,Ibra,OM,89.47,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
278,Aripuana,BR,88.84,broken clouds,-9.1667,-60.6333,
