City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xuanhua,CN,40.6103,115.0447,71.44,68,22,5.17,few clouds
1,Riyadh,SA,24.6877,46.7219,102.34,9,19,10.54,few clouds
2,Craig,US,40.5153,-107.5464,67.95,30,0,5.75,clear sky
3,Kindu,CD,-2.95,25.95,80.67,57,87,3.0,overcast clouds
4,Kismayo,SO,-0.3582,42.5454,78.39,83,29,12.24,light rain
5,Nikolskoye,RU,59.7035,30.7861,64.29,59,57,8.28,broken clouds
6,Lompoc,US,34.6391,-120.4579,77.85,69,0,0.0,clear sky
7,Yellowknife,CA,62.456,-114.3525,52.32,71,75,12.66,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,56.8,56,100,7.81,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,2.08,overcast clouds
10,Filingue,NE,14.3521,3.3168,92.26,32,98,1.92,overcast clouds
11,Kavieng,PG,-2.5744,150.7967,81.18,76,87,12.35,light rain
12,Lebu,CL,-37.6167,-73.65,51.49,79,8,3.87,clear sky
13,Paamiut,GL,61.994,-49.6678,38.1,71,99,3.69,overcast clouds
14,Hobart,AU,-42.8794,147.3294,44.06,96,24,6.91,few clouds
15,Santa Maria Del Oro,MX,25.9333,-105.3667,82.29,27,19,14.92,few clouds
16,Bow Island,CA,49.8668,-111.3684,61.63,67,100,2.3,overcast clouds
17,Poum,NC,-20.2333,164.0167,78.15,86,87,22.93,overcast clouds
18,Lorengau,PG,-2.0226,147.2712,81.7,78,81,10.0,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,49,11.1,scattered clouds
20,La Ronge,CA,55.1001,-105.2842,57.45,82,100,12.66,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,72.36,67,36,6.78,scattered clouds
22,Georgetown,MY,5.4112,100.3354,84.13,83,40,5.99,scattered clouds
23,Vila Velha,BR,-20.3297,-40.2925,75.15,74,75,9.22,broken clouds
24,Zhigansk,RU,66.7697,123.3711,47.52,50,87,20.04,overcast clouds
25,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,76.87,66,67,8.12,broken clouds
26,Kaitangata,NZ,-46.2817,169.8464,38.26,88,51,4.9,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,49.37,57,99,13.13,overcast clouds
28,Huasahuasi,PE,-11.3167,-75.6167,52.5,33,1,7.7,clear sky
29,Tiksi,RU,71.6872,128.8694,31.33,86,52,5.23,broken clouds
30,Jacmel,HT,18.2342,-72.5347,91.24,54,100,5.79,overcast clouds
31,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,100,75,0.0,broken clouds
32,Amahai,ID,-3.3333,128.9167,76.6,89,94,3.6,overcast clouds
33,Marsh Harbour,BS,26.5412,-77.0636,81.34,74,9,6.53,clear sky
34,Vila,PT,42.0304,-8.1588,72.7,54,90,5.64,overcast clouds
35,Mvuma,ZW,-19.2792,30.5283,55.42,66,1,9.75,clear sky
36,Somerset West,ZA,-34.084,18.8211,57.06,63,95,3.44,overcast clouds
37,Kapaa,US,22.0752,-159.319,73.38,96,40,11.5,scattered clouds
38,Henties Bay,NA,-22.116,14.2845,59.76,77,0,6.78,clear sky
39,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,16.11,scattered clouds
40,Mahebourg,MU,-20.4081,57.7,74.25,78,40,9.22,scattered clouds
41,Port Hardy,CA,50.6996,-127.4199,51.98,93,100,4.61,light rain
